Country or Area;Commodity - Transaction;Year;Unit;Quantity;Quantity Footnotes;Kmq;Continents
Bhutan;Electricity - total solar production;2007;Kilowatt-hours, million;403;;47000;Asia
Bhutan;Electricity - total solar production;2006;Kilowatt-hours, million;378;;47000;Asia
Bhutan;Electricity - total solar production;2005;Kilowatt-hours, million;182;;47000;Asia
Bolivia (Plur. State of);Electricity - total solar production;2018;Kilowatt-hours, million;127;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2017;Kilowatt-hours, million;6;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2016;Kilowatt-hours, million;6;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2015;Kilowatt-hours, million;5;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2014;Kilowatt-hours, million;6;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2013;Kilowatt-hours, million;3;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2012;Kilowatt-hours, million;3;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2011;Kilowatt-hours, million;3;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2010;Kilowatt-hours, million;3;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2009;Kilowatt-hours, million;2;;1098580;South America
Bolivia (Plur. State of);Electricity - total solar production;2008;Kilowatt-hours, million;1;;1098580;South America
Bonaire, St Eustatius, Saba;Electricity - total solar production;2019;Kilowatt-hours, million;5;1;322;South America
Bonaire, St Eustatius, Saba;Electricity - total solar production;2018;Kilowatt-hours, million;5;1;322;South America
Bonaire, St Eustatius, Saba;Electricity - total solar production;2017;Kilowatt-hours, million;5;1;322;South America
Bonaire, St Eustatius, Saba;Electricity - total solar production;2016;Kilowatt-hours, million;5;1;322;South America
Bosnia and Herzegovina;Electricity - total solar production;2018;Kilowatt-hours, million;21;;51129;Europe
Bosnia and Herzegovina;Electricity - total solar production;2017;Kilowatt-hours, million;21;;51129;Europe
Bosnia and Herzegovina;Electricity - total solar production;2016;Kilowatt-hours, million;24;;51129;Europe
Botswana;Electricity - total solar production;2018;Kilowatt-hours, million;5;;600370;Africa
Botswana;Electricity - total solar production;2017;Kilowatt-hours, million;2;;600370;Africa
Botswana;Electricity - total solar production;2016;Kilowatt-hours, million;2;;600370;Africa
Botswana;Electricity - total solar production;2015;Kilowatt-hours, million;13;;600370;Africa
Botswana;Electricity - total solar production;2014;Kilowatt-hours, million;13;;600370;Africa
Botswana;Electricity - total solar production;2013;Kilowatt-hours, million;13;;600370;Africa
Botswana;Electricity - total solar production;2012;Kilowatt-hours, million;13;;600370;Africa
Brazil;Electricity - total solar production;2019;Kilowatt-hours, million;6655;;8514877;South America
Brazil;Electricity - total solar production;2018;Kilowatt-hours, million;3461;;8514877;South America
Brazil;Electricity - total solar production;2017;Kilowatt-hours, million;832;;8514877;South America
Brazil;Electricity - total solar production;2016;Kilowatt-hours, million;85;;8514877;South America
Brazil;Electricity - total solar production;2015;Kilowatt-hours, million;59;;8514877;South America
Brazil;Electricity - total solar production;2014;Kilowatt-hours, million;16;;8514877;South America
Brazil;Electricity - total solar production;2013;Kilowatt-hours, million;7;;8514877;South America
British Virgin Islands;Electricity - total solar production;2019;Kilowatt-hours, million;32;1;1910;South America
British Virgin Islands;Electricity - total solar production;2018;Kilowatt-hours, million;3;1;1910;South America
British Virgin Islands;Electricity - total solar production;2017;Kilowatt-hours, million;4;1;1910;South America
British Virgin Islands;Electricity - total solar production;2016;Kilowatt-hours, million;7;1;1910;South America
British Virgin Islands;Electricity - total solar production;2015;Kilowatt-hours, million;67;1;1910;South America
British Virgin Islands;Electricity - total solar production;2014;Kilowatt-hours, million;67;1;1910;South America
British Virgin Islands;Electricity - total solar production;2013;Kilowatt-hours, million;29;1;1910;South America
British Virgin Islands;Electricity - total solar production;2012;Kilowatt-hours, million;2;1;1910;South America
British Virgin Islands;Electricity - total solar production;2011;Kilowatt-hours, million;2;1;1910;South America
Brunei Darussalam;Electricity - total solar production;2018;Kilowatt-hours, million;2;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2017;Kilowatt-hours, million;2;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2016;Kilowatt-hours, million;1;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2015;Kilowatt-hours, million;2;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2014;Kilowatt-hours, million;2;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2013;Kilowatt-hours, million;2;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2012;Kilowatt-hours, million;2;;5770;Asia
Brunei Darussalam;Electricity - total solar production;2011;Kilowatt-hours, million;2;;5770;Asia
Bulgaria;Electricity - total solar production;2018;Kilowatt-hours, million;1343;;110910;Europe
Bulgaria;Electricity - total solar production;2017;Kilowatt-hours, million;1403;;110910;Europe
Bulgaria;Electricity - total solar production;2016;Kilowatt-hours, million;1386;;110910;Europe
Bulgaria;Electricity - total solar production;2015;Kilowatt-hours, million;1383;;110910;Europe
Bulgaria;Electricity - total solar production;2014;Kilowatt-hours, million;1252;;110910;Europe
Bulgaria;Electricity - total solar production;2013;Kilowatt-hours, million;1361;;110910;Europe
Bulgaria;Electricity - total solar production;2012;Kilowatt-hours, million;814;;110910;Europe
Bulgaria;Electricity - total solar production;2011;Kilowatt-hours, million;101;;110910;Europe
Bulgaria;Electricity - total solar production;2010;Kilowatt-hours, million;15;;110910;Europe
Bulgaria;Electricity - total solar production;2009;Kilowatt-hours, million;3;;110910;Europe
Burkina Faso;Electricity - total solar production;2018;Kilowatt-hours, million;541;;274200;Africa
Burkina Faso;Electricity - total solar production;2017;Kilowatt-hours, million;94;;274200;Africa
Burundi;Electricity - total solar production;2018;Kilowatt-hours, million;793;;27830;Africa
Burundi;Electricity - total solar production;2017;Kilowatt-hours, million;793;;27830;Africa
Burundi;Electricity - total solar production;2016;Kilowatt-hours, million;637;;27830;Africa
Burundi;Electricity - total solar production;2015;Kilowatt-hours, million;482;;27830;Africa
Burundi;Electricity - total solar production;2014;Kilowatt-hours, million;435;;27830;Africa
Burundi;Electricity - total solar production;2013;Kilowatt-hours, million;404;;27830;Africa
Burundi;Electricity - total solar production;2012;Kilowatt-hours, million;249;;27830;Africa
Burundi;Electricity - total solar production;2011;Kilowatt-hours, million;124;;27830;Africa
Burundi;Electricity - total solar production;2010;Kilowatt-hours, million;93;;27830;Africa
Burundi;Electricity - total solar production;2009;Kilowatt-hours, million;62;;27830;Africa
Cabo Verde;Electricity - total solar production;2018;Kilowatt-hours, million;104;1;4033;Africa
Cabo Verde;Electricity - total solar production;2017;Kilowatt-hours, million;66;;4033;Africa
Cabo Verde;Electricity - total solar production;2016;Kilowatt-hours, million;56;;4033;Africa
Cabo Verde;Electricity - total solar production;2015;Kilowatt-hours, million;62;;4033;Africa
Cabo Verde;Electricity - total solar production;2014;Kilowatt-hours, million;502;;4033;Africa
Cabo Verde;Electricity - total solar production;2013;Kilowatt-hours, million;728;;4033;Africa
Cabo Verde;Electricity - total solar production;2012;Kilowatt-hours, million;749;;4033;Africa
Cabo Verde;Electricity - total solar production;2011;Kilowatt-hours, million;896;;4033;Africa
Cabo Verde;Electricity - total solar production;2010;Kilowatt-hours, million;211;;4033;Africa
Cabo Verde;Electricity - total solar production;2009;Kilowatt-hours, million;0;;4033;Africa
Cabo Verde;Electricity - total solar production;2008;Kilowatt-hours, million;0;;4033;Africa
Cabo Verde;Electricity - total solar production;2007;Kilowatt-hours, million;0;;4033;Africa
Cambodia;Electricity - total solar production;2018;Kilowatt-hours, million;16;;181044;Asia
Cambodia;Electricity - total solar production;2017;Kilowatt-hours, million;5;;181044;Asia
Cambodia;Electricity - total solar production;2016;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2015;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2014;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2013;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2012;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2011;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2010;Kilowatt-hours, million;3;;181044;Asia
Cambodia;Electricity - total solar production;2009;Kilowatt-hours, million;2;;181044;Asia
Cambodia;Electricity - total solar production;2008;Kilowatt-hours, million;2;;181044;Asia
Cambodia;Electricity - total solar production;2007;Kilowatt-hours, million;2;;181044;Asia
Cambodia;Electricity - total solar production;2006;Kilowatt-hours, million;2;;181044;Asia
Cambodia;Electricity - total solar production;2005;Kilowatt-hours, million;1;;181044;Asia
Cameroon;Electricity - total solar production;2018;Kilowatt-hours, million;19;;449964;Africa
Cameroon;Electricity - total solar production;2017;Kilowatt-hours, million;16;;449964;Africa
Cameroon;Electricity - total solar production;2016;Kilowatt-hours, million;12;;449964;Africa
Cameroon;Electricity - total solar production;2015;Kilowatt-hours, million;10;;449964;Africa
Cameroon;Electricity - total solar production;2014;Kilowatt-hours, million;7;;449964;Africa
Cameroon;Electricity - total solar production;2013;Kilowatt-hours, million;5;;449964;Africa
Cameroon;Electricity - total solar production;2012;Kilowatt-hours, million;4;;449964;Africa
Cameroon;Electricity - total solar production;2011;Kilowatt-hours, million;3;;449964;Africa
Cameroon;Electricity - total solar production;2010;Kilowatt-hours, million;1;;449964;Africa
Cameroon;Electricity - total solar production;2009;Kilowatt-hours, million;1;;449964;Africa
Canada;Electricity - total solar production;2018;Kilowatt-hours, million;3796;;9984673;North America
Canada;Electricity - total solar production;2017;Kilowatt-hours, million;3573;;9984673;North America
Canada;Electricity - total solar production;2016;Kilowatt-hours, million;4030;;9984673;North America
Canada;Electricity - total solar production;2015;Kilowatt-hours, million;2895;;9984673;North America
Canada;Electricity - total solar production;2014;Kilowatt-hours, million;2120;;9984673;North America
Canada;Electricity - total solar production;2013;Kilowatt-hours, million;1499;;9984673;North America
Canada;Electricity - total solar production;2012;Kilowatt-hours, million;881;;9984673;North America
Canada;Electricity - total solar production;2011;Kilowatt-hours, million;572;;9984673;North America
Canada;Electricity - total solar production;2010;Kilowatt-hours, million;255;;9984673;North America
Canada;Electricity - total solar production;2009;Kilowatt-hours, million;109;;9984673;North America
Canada;Electricity - total solar production;2008;Kilowatt-hours, million;35;;9984673;North America
Canada;Electricity - total solar production;2007;Kilowatt-hours, million;26;;9984673;North America
Canada;Electricity - total solar production;2006;Kilowatt-hours, million;21;;9984673;North America
Canada;Electricity - total solar production;2005;Kilowatt-hours, million;17;;9984673;North America
Canada;Electricity - total solar production;2004;Kilowatt-hours, million;13;;9984673;North America
Canada;Electricity - total solar production;2003;Kilowatt-hours, million;23;;9984673;North America
Canada;Electricity - total solar production;2002;Kilowatt-hours, million;22;;9984673;North America
Canada;Electricity - total solar production;2001;Kilowatt-hours, million;19;;9984673;North America
Canada;Electricity - total solar production;2000;Kilowatt-hours, million;16;;9984673;North America
Canada;Electricity - total solar production;1999;Kilowatt-hours, million;13;;9984673;North America
Canada;Electricity - total solar production;1998;Kilowatt-hours, million;10;;9984673;North America
Canada;Electricity - total solar production;1997;Kilowatt-hours, million;7;;9984673;North America
Canada;Electricity - total solar production;1996;Kilowatt-hours, million;6;;9984673;North America
Canada;Electricity - total solar production;1995;Kilowatt-hours, million;4;;9984673;North America
Canada;Electricity - total solar production;1994;Kilowatt-hours, million;3;;9984673;North America
Canada;Electricity - total solar production;1993;Kilowatt-hours, million;3;;9984673;North America
Canada;Electricity - total solar production;1992;Kilowatt-hours, million;2;;9984673;North America
Central African Rep.;Electricity - total solar production;2019;Kilowatt-hours, million;43;1;622684;Africa
Central African Rep.;Electricity - total solar production;2018;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2017;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2016;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2015;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2014;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2013;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2012;Kilowatt-hours, million;43;;622684;Africa
Central African Rep.;Electricity - total solar production;2011;Kilowatt-hours, million;28;;622684;Africa
Central African Rep.;Electricity - total solar production;2010;Kilowatt-hours, million;14;;622684;Africa
Central African Rep.;Electricity - total solar production;2009;Kilowatt-hours, million;14;;622684;Africa
Central African Rep.;Electricity - total solar production;2008;Kilowatt-hours, million;14;;622684;Africa
Central African Rep.;Electricity - total solar production;2007;Kilowatt-hours, million;14;;622684;Africa
Central African Rep.;Electricity - total solar production;2006;Kilowatt-hours, million;14;;622684;Africa
Central African Rep.;Electricity - total solar production;2005;Kilowatt-hours, million;14;;622684;Africa
Central African Rep.;Electricity - total solar production;2004;Kilowatt-hours, million;0;;622684;Africa
Chile;Electricity - total solar production;2018;Kilowatt-hours, million;5217;;755838;South America
